Location,Year,Total Passengers
Dublin,2022,533275
Dublin,2022,420463
Dublin,2022,411768
Dublin,2022,289972
Dublin,2022,270512
Dublin,2023,371194
Dublin,2023,339997
Dublin,2023,430666
Dublin,2023,397719
Dublin,2023,440142
Dublin,2023,411750
Dublin,2023,486675
Dublin,2023,461916
Dublin,2023,489532
Dublin,2023,463204
Dublin,2023,497428
Dublin,2023,459856
Dublin,2023,500579
Dublin,2023,468348
Dublin,2023,491496
Dublin,2023,457745
Dublin,2023,468498
Dublin,2023,446831
Dublin,2023,479445
Dublin,2023,408261
Dublin,2023,502781
Dublin,2023,431138
Dublin,2023,505332
Dublin,2023,437350
Dublin,2023,507092
Dublin,2023,464282
Dublin,2023,482842
Dublin,2023,412105
Dublin,2023,476106
Dublin,2023,354148
Dublin,2023,493366
Dublin,2023,443616
Dublin,2023,495522
Dublin,2023,418215
Dublin,2023,483525
Dublin,2023,401836
Dublin,2023,496075
Dublin,2023,443212
Dublin,2023,487287
Dublin,2023,446753
Dublin,2023,598293
Dublin,2023,343813
Dublin,2023,383243
Dublin,2023,329521
Dublin,2023,465542
Dublin,2023,379988
Dublin,2023,482633
Dublin,2023,425858
Dublin,2023,510176
Dublin,2023,432325
Dublin,2023,525000
Dublin,2023,440830
Dublin,2023,501656
Dublin,2023,415577
Dublin,2023,458273
Dublin,2023,396355
Dublin,2023,463673
Dublin,2023,403240
Dublin,2023,490187
Dublin,2023,408738
Dublin,2023,466708
Dublin,2023,340441
Dublin,2023,437277
Dublin,2023,336659
Dublin,2023,449135
Dublin,2023,381530
Dublin,2023,495211
Dublin,2023,405320
Dublin,2023,432251
Dublin,2023,411878
Dublin,2023,465836
Dublin,2023,432905
Dublin,2023,462007
Dublin,2023,445474
Dublin,2023,533098
Dublin,2023,498593
Dublin,2023,512536
Dublin,2023,500581
Dublin,2023,534463
Dublin,2023,515962
Dublin,2023,532162
Dublin,2023,513554
Dublin,2023,571365
Dublin,2023,514208
Dublin,2023,578178
Dublin,2023,528068
Dublin,2023,502054
Dublin,2023,447017
Dublin,2014,8991175
Dublin,2014,9117393
Dublin,2014,10327497
Dublin,2014,9648830
Dublin,2014,9439479
Dublin,2014,9096253
Dublin,2014,9250780
Dublin,2014,9348448
Dublin,2014,10288409
Dublin,2014,10746115
Dublin,2014,10545021
Dublin,2014,9462591
Dublin,2015,9577528
Dublin,2015,9596458
Dublin,2015,10543380
Dublin,2015,10041339
Dublin,2015,9371545
Dublin,2015,9470674
Dublin,2015,10317027
Dublin,2015,9537133
Dublin,2015,10979884
Dublin,2015,11432628
Dublin,2015,11052013
Dublin,2015,10172946
Dublin,2016,9857291
Dublin,2016,10700553
Dublin,2016,10701987
Dublin,2016,11091977
Dublin,2016,10825747
Dublin,2016,9957220
Dublin,2016,10480109
Dublin,2016,10243169
Dublin,2016,8559909
Dublin,2016,11236567
Dublin,2016,11318902
Dublin,2016,10403922
Dublin,2017,10468427
Dublin,2017,10718425
Dublin,2017,12051139
Dublin,2017,10841832
Dublin,2017,11771832
Dublin,2017,10986482
Dublin,2017,11629833
Dublin,2017,11342248
Dublin,2017,12432529
Dublin,2017,12546921
Dublin,2017,13024610
Dublin,2017,11163861
Dublin,2018,11419534
Dublin,2018,11279304
Dublin,2018,11067489
Dublin,2018,12046319
Dublin,2018,12737152
Dublin,2018,11490525
Dublin,2018,12074231
Dublin,2018,11679839
Dublin,2018,12448501
Dublin,2018,13240113
Dublin,2018,12765522
Dublin,2018,10855955
Dublin,2019,11216738
Dublin,2019,11107751
Dublin,2019,11959588
Dublin,2019,11285530
Dublin,2019,11811474
Dublin,2019,10569888
Dublin,2019,11760960
Dublin,2019,10931243
Dublin,2019,11898080
Dublin,2019,12611911
Dublin,2019,12239821
Dublin,2019,10917996
Dublin,2020,11501632
Dublin,2020,11510850
Dublin,2020,6606702
Dublin,2020,1467736
Dublin,2020,2192361
Dublin,2020,3544895
Dublin,2020,5224212
Dublin,2020,5418671
Dublin,2020,6024417
Dublin,2020,5296571
Dublin,2020,4449595
Dublin,2020,5689784
Dublin,2021,2785900
Dublin,2021,2921923
Dublin,2021,3839607
Dublin,2021,4210958
Dublin,2021,5284722
Dublin,2021,6042584
Dublin,2021,6289956
Dublin,2021,6480609
Dublin,2021,7823189
Dublin,2021,8519740
Dublin,2021,8549355
Dublin,2021,7179968
Dublin,2022,7100719
Dublin,2022,7888541
Dublin,2022,9368847
Dublin,2022,9201677
Dublin,2022,10142950
Dublin,2022,10046619
Dublin,2022,10304252
Dublin,2022,10445063
Dublin,2022,11650000
Dublin,2022,12275823
Dublin,2022,12217747
Dublin,2022,10747395
