"Statistic Label","Week","Luas Line","UNIT","VALUE"
"Passenger Journeys","2021 Week 17","Green line","Number","111451"
"Passenger Journeys","2021 Week 18","Red line","Number","112233"
"Passenger Journeys","2021 Week 18","Green line","Number","104694"
"Passenger Journeys","2021 Week 19","Red line","Number","157788"
"Passenger Journeys","2021 Week 19","Green line","Number","146271"
"Passenger Journeys","2021 Week 20","Red line","Number","181324"
"Passenger Journeys","2021 Week 20","Green line","Number","174751"
"Passenger Journeys","2021 Week 21","Red line","Number","202202"
"Passenger Journeys","2021 Week 21","Green line","Number","186077"
"Passenger Journeys","2021 Week 22","Red line","Number","210560"
"Passenger Journeys","2021 Week 22","Green line","Number","170908"
"Passenger Journeys","2021 Week 23","Red line","Number","196288"
"Passenger Journeys","2021 Week 23","Green line","Number","179995"
"Passenger Journeys","2021 Week 24","Red line","Number","219396"
"Passenger Journeys","2021 Week 24","Green line","Number","195584"
"Passenger Journeys","2021 Week 25","Red line","Number","218088"
"Passenger Journeys","2021 Week 25","Green line","Number","195099"
"Passenger Journeys","2021 Week 26","Red line","Number","218863"
"Passenger Journeys","2021 Week 26","Green line","Number","189741"
"Passenger Journeys","2021 Week 27","Red line","Number","216285"
"Passenger Journeys","2021 Week 27","Green line","Number","186974"
"Passenger Journeys","2021 Week 28","Red line","Number","225848"
"Passenger Journeys","2021 Week 28","Green line","Number","191971"
"Passenger Journeys","2021 Week 29","Red line","Number","228641"
"Passenger Journeys","2021 Week 29","Green line","Number","187718"
"Passenger Journeys","2021 Week 30","Red line","Number","201734"
"Passenger Journeys","2021 Week 30","Green line","Number","189854"
"Passenger Journeys","2021 Week 31","Red line","Number","203388"
"Passenger Journeys","2021 Week 31","Green line","Number","182820"
"Passenger Journeys","2021 Week 32","Red line","Number","231872"
"Passenger Journeys","2021 Week 32","Green line","Number","198411"
"Passenger Journeys","2021 Week 33","Red line","Number","235705"
"Passenger Journeys","2021 Week 33","Green line","Number","205599"
"Passenger Journeys","2021 Week 34","Red line","Number","239564"
"Passenger Journeys","2021 Week 34","Green line","Number","222808"
"Passenger Journeys","2021 Week 35","Red line","Number","230456"
"Passenger Journeys","2021 Week 35","Green line","Number","226231"
"Passenger Journeys","2021 Week 36","Red line","Number","245380"
"Passenger Journeys","2021 Week 36","Green line","Number","244968"
"Passenger Journeys","2021 Week 37","Red line","Number","249168"
"Passenger Journeys","2021 Week 37","Green line","Number","256618"
"Passenger Journeys","2021 Week 38","Red line","Number","268040"
"Passenger Journeys","2021 Week 38","Green line","Number","284193"
"Passenger Journeys","2021 Week 39","Red line","Number","270932"
"Passenger Journeys","2021 Week 39","Green line","Number","280322"
"Passenger Journeys","2021 Week 40","Red line","Number","290380"
"Passenger Journeys","2021 Week 40","Green line","Number","302283"
"Passenger Journeys","2021 Week 41","Red line","Number","262502"
"Passenger Journeys","2021 Week 41","Green line","Number","313186"
"Passenger Journeys","2021 Week 42","Red line","Number","301424"
"Passenger Journeys","2021 Week 42","Green line","Number","305350"
"Passenger Journeys","2021 Week 43","Red line","Number","279174"
"Passenger Journeys","2021 Week 43","Green line","Number","266874"
"Passenger Journeys","2021 Week 44","Red line","Number","308166"
"Passenger Journeys","2021 Week 44","Green line","Number","308644"
"Passenger Journeys","2021 Week 45","Red line","Number","310262"
"Passenger Journeys","2021 Week 45","Green line","Number","319985"
"Passenger Journeys","2021 Week 46","Red line","Number","306977"
